filename,file_size_bytes,is_valid_pdf,sha256,page_count,items_detected,section_types,core_fdd_start,core_fdd_end,flags,scan_timestamp
cleaning-authority_2025_wi_auto.pdf,3107540,True,9731ea214c871b67839016ba35cdd6f38c1da35a463334a2d6691ce31e9b1c2f,292,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;receipt;exhibit,5,286,,2026-03-16T03:07:14.188085+00:00
lawn-doctor_2025_wi_auto.pdf,2900477,True,166b21cec41e10ecb70c65908db42514ee2835ca4769008f33a5d76a59a753b9,281,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit,8,268,NO_RECEIPT_DETECTED,2026-03-16T03:07:30.266276+00:00
lawn-pride_2025_wi_auto.pdf,3789879,True,e563a5497e8a298324c3faec0efc8bfdd84008c5614569abe713d4ee3af659be,381,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,10,356,,2026-03-16T03:07:43.352446+00:00
lawn-squad_2025_wi_auto.pdf,2191369,True,55aec46fdc5fef9d89a1798c9f799a141072af8a1248f3e6f2bb025e84ac4d99,247,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;receipt;exhibit,5,241,,2026-03-16T03:08:04.450875+00:00
maid-right_2025_wi_auto.pdf,4088822,True,d6553c082ea790cc762c013eba77954856436d0518e0f06721bc9f7ca5c31b2a,203,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;exhibit;receipt,8,196,,2026-03-16T03:08:17.923157+00:00
maidpro_2025_wi_auto.pdf,3459683,True,6f544315bc684e5494d541f1e0ae768bcc4ebe05ee87e94b4350b10057577102,262,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,9,55,,2026-03-16T03:08:28.439339+00:00
merry-maids_2025_wi_auto.pdf,2152232,True,57043a9cc81ecb3b45ba6f4c48b09ae67e1c29e02b13dd9ba030fa409079a094,271,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,7,63,,2026-03-16T03:08:41.218122+00:00
molly-maid_2025_wi_auto.pdf,3937611,True,44d5c311e25ac0883a9f3ab5b3377d7abbeef3ba87bacdea1d3bea31c00ca220,377,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,8,347,,2026-03-16T03:08:56.410790+00:00
mosquito-authority_2025_wi.pdf,5380328,True,b3c79bd51cd531ec6e5c34297acd7118ba47d8a9418c1d5fec18c150fd4ab980,232,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;receipt;item_page;exhibit,6,215,,2026-03-16T03:09:18.467826+00:00
mosquito-hunters_2022_nasaa.pdf,1772980,True,c476f377d4c8925f3fd9d9318e8ab93b61004a7a4e257038bd339d282eb60e5b,231,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit,7,201,NO_RECEIPT_DETECTED,2026-03-16T03:09:40.713059+00:00
mosquito-hunters_2024_3p.pdf,1928504,True,a804159fd9d2e4841827aab789112d8679c620e90446336489e0a1ebf58addc0,250,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit,7,224,NO_RECEIPT_DETECTED,2026-03-16T03:09:51.172684+00:00
mosquito-hunters_2025_wi.pdf,2228258,True,2226332c1fc1ea66d75e56dfc717f6536ba3193867c48696e6955695dd36f931,255,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,7,226,,2026-03-16T03:10:02.149585+00:00
mosquito-joe_2025_wi.pdf,4058218,True,78400773abfcd9f93207d0437fc41662d2bdc4b082d413871a5b2fb761beb393,426,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,10,400,,2026-03-16T03:10:13.506519+00:00
mosquito-sheriff_2025_wi_auto.pdf,1514401,True,1020ec353caee137596f905c239705bebaac49e068088c6a141ce72a29ae7165,144,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;receipt;exhibit,6,134,,2026-03-16T03:10:37.017638+00:00
mosquito-shield_2025_wi.pdf,5084906,True,3de232c6a558d2563de70252c118058788fc82bd9209331b172f4e09274408ec,233,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,7,59,,2026-03-16T03:10:43.730524+00:00
mosquito-squad_2025_wi.pdf,3087197,True,b176969051509bc58513af2f3870f80d96107ee5a48ccc16f43070bf5ce88c97,297,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;receipt;exhibit,5,291,,2026-03-16T03:10:53.770915+00:00
mosquitonix_2025_wi_auto.pdf,3512032,True,502bbb97dc04b2b3e463430de73e614b6e5be86f2b1c5e4a87c6596a5bcfe6cc,203,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit,8,202,NO_RECEIPT_DETECTED,2026-03-16T03:11:09.898063+00:00
naturalawn_2025_wi_auto.pdf,872746,True,3a412ecdef46487a43bc1d9fc5fb6b24ae95819fe9130a8990b6b60f8fc65b89,147,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;receipt;exhibit,2,38,,2026-03-16T03:11:20.447904+00:00
spring-green_2025_wi_auto.pdf,3344769,True,a3b30d7521fe546489e6dd90b28030ff81f242c9db9743b693c5296cc8638f97,263,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit,9,68,NO_RECEIPT_DETECTED,2026-03-16T03:11:27.520718+00:00
the-maids_2026_wi_auto.pdf,3436443,True,276392d5c8479c0438ad7aa6bc53151bbede6de7a8a2a80cd8850e5d64312c86,232,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,3,220,,2026-03-16T03:11:42.338229+00:00
two-maids_2025_wi_auto.pdf,1589825,True,ec84e32d592c9c445666c2077e83a04116c61391310d508eda903b8a0a669bf6,272,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,9,77,,2026-03-16T03:11:55.138115+00:00
weed-man_2025_wi_auto.pdf,3003920,True,e8e96efe9b166b2309dfa67f2d73dd859629defc2a1f2807305ec0ff5af3e6d4,174,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,cover_page;table_of_contents;state_addendum;item_page;exhibit;receipt,8,169,,2026-03-16T03:12:07.631930+00:00
