brand_slug,filing_year,source,legal_entity_searched,download_url,local_filename,sha256,downloaded_at,notes
mosquito-hunters,2024,third_party,Mosquito Hunters,https://storage.googleapis.com/franchiseindx_fdds/Home-Services/Mosquito%20Hunters_2024_rb12ox58,mosquito-hunters_2024_3p.pdf,a804159fd9d2e4841827aab789112d8679c620e90446336489e0a1ebf58addc0,2026-03-14T12:00:00Z,Third-party source used for Phase 1 proof-of-extraction
mosquito-authority,2025,WI_DFI,Main Line Brands,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639085,mosquito-authority_2025_wi.pdf,b3c79bd51cd531ec6e5c34297acd7118ba47d8a9418c1d5fec18c150fd4ab980,2026-03-14T13:50:00Z,Regulator-source. Filing ID 639085. Trade name confirmed as Mosquito Authority on detail page.
mosquito-hunters,2025,WI_DFI,Mosquito Hunters,,mosquito-hunters_2025_wi.pdf,2226332c1fc1ea66d75e56dfc717f6536ba3193867c48696e6955695dd36f931,2026-03-14T13:54:00Z,Regulator-source WI DFI.
mosquito-joe,2025,WI_DFI,Mosquito Joe,,mosquito-joe_2025_wi.pdf,78400773abfcd9f93207d0437fc41662d2bdc4b082d413871a5b2fb761beb393,2026-03-14T13:32:00Z,Regulator-source WI DFI.
mosquito-shield,2025,WI_DFI,Mosquito Shield,,mosquito-shield_2025_wi.pdf,3de232c6a558d2563de70252c118058788fc82bd9209331b172f4e09274408ec,2026-03-14T13:54:00Z,Regulator-source WI DFI.
mosquito-squad,2025,WI_DFI,Mosquito Squad,,mosquito-squad_2025_wi.pdf,b176969051509bc58513af2f3870f80d96107ee5a48ccc16f43070bf5ce88c97,2026-03-14T13:54:00Z,Regulator-source WI DFI.
mosquito-hunters,2025,WI_DFI,Mosquito Hunters,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639095&hash=1660797260&search=external&type=GENERAL,mosquito-hunters_2025_wi_auto.pdf,2226332c1fc1ea66d75e56dfc717f6536ba3193867c48696e6955695dd36f931,2026-03-15T06:23:46Z,Automated download via Playwright POC
mosquito-hunters,2025,WI_DFI,Mosquito Hunters,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639095&hash=1660797260&search=external&type=GENERAL,mosquito-hunters_2025_wi_auto.pdf,2226332c1fc1ea66d75e56dfc717f6536ba3193867c48696e6955695dd36f931,2026-03-15T06:27:29Z,Automated batch download. File uploaded on 05/08/2025 at  05:24:31.
mosquito-joe,2025,WI_DFI,Mosquito Joe,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=638296&hash=885818049&search=external&type=GENERAL,mosquito-joe_2025_wi_auto.pdf,78400773abfcd9f93207d0437fc41662d2bdc4b082d413871a5b2fb761beb393,2026-03-15T06:27:36Z,Automated batch download. File uploaded on 10/07/2025 at  02:36:05.
mosquito-authority,2025,WI_DFI,Main Line Brands,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639085&hash=891071103&search=external&type=GENERAL,mosquito-authority_2025_wi_auto.pdf,b3c79bd51cd531ec6e5c34297acd7118ba47d8a9418c1d5fec18c150fd4ab980,2026-03-15T06:27:39Z,Automated batch download. File uploaded on 05/08/2025 at  02:37:43.
mosquito-hunters,2025,WI_DFI,Mosquito Hunters,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639095&hash=1660797260&search=external&type=GENERAL,mosquito-hunters_2025_wi_auto.pdf,2226332c1fc1ea66d75e56dfc717f6536ba3193867c48696e6955695dd36f931,2026-03-15T06:27:41Z,Automated batch download. File uploaded on 05/08/2025 at  05:24:31.
mosquito-squad,2025,WI_DFI,Mosquito Squad,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=638497&hash=2135592064&search=external&type=GENERAL,mosquito-squad_2025_wi_auto.pdf,b176969051509bc58513af2f3870f80d96107ee5a48ccc16f43070bf5ce88c97,2026-03-15T06:27:44Z,Automated batch download. File uploaded on 04/17/2025 at  02:55:45.
mosquito-shield,2025,WI_DFI,Mosquito Shield,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639126&hash=746627060&search=external&type=GENERAL,mosquito-shield_2025_wi_auto.pdf,3de232c6a558d2563de70252c118058788fc82bd9209331b172f4e09274408ec,2026-03-15T06:27:46Z,Automated batch download. File uploaded on 05/13/2025 at  12:23:57.
